PLAYER NAME,POS,AGE,L/R,BT,OBT,Batter TRAITS, Pitcher TRAITS, Pitcher Die 
Daniel Mitchell,Left Field,24,R,23,30,,,
Noah Hill,Center Field,22,R,23,25,C-,,
John Hill,Catcher,36,S,28,34,S-,,
Ryan Brown,Right Field,29,L,28,33,,,
Jacob Ramírez,First Base,24,S,18,26,P--,,
Joshua Parker,Second Base,30,R,29,34,P++,,
Dylan Scott,Third Base,38,R,26,29,,,
Luca Taylor,Shortstop,21,L,35,41,P+,,
Bench 
Lucas Baker,INF,33,L,34,38,C+,,
Benjamin Gómez,INF,19,R,19,23,,,
Joseph Pérez,OF,26,R,30,36,,,
Charles Roberts,OF,27,R,29,37,P-,,
Nathan White,C,29,R,28,36,,,
Pitchers 
Ryan Lewis,SP,21,R,19,22,,,d4
Henry Rodríguez,SP,31,R,35,39,P+,,d4
Mason Jackson,SP,26,L,22,28,,CN-,d8
Isaac Rodríguez,SP,32,L,32,39,P+,GB+,d8
William Jackson,SP,19,R,21,26,P+,, -d4
Ezekiel Jones,RP,35,L,24,29,,, -d4
Dylan Baker,RP,19,L,25,29,S+,,d4
Aiden Scott,RP,28,L,30,35,,,d8
James King,RP,24,L,27,35,C+,ST+,d4
Asher White,RP,23,R,33,37,P++,,d8
Jackson Hill,RP,32,R,24,27,C-,, -d4
Theodore Miller,RP,23,R,33,37,S+,, -d4
